Order	CQ	total	high	prop
1	stop_gained	23831	1796	0.075364022
2	missense	999650	214948	0.215023258
3	synonymous	603152	162640	0.269650105
5	acc-25	4882	1468	0.300696436
6	acc-24	4954	1505	0.303794913
7	acc-23	4949	1462	0.295413215
8	acc-22	4918	1512	0.30744205
9	acc-21	4953	1513	0.305471431
10	acc-20	5060	1529	0.302173913
11	acc-19	4999	1550	0.310062012
12	acc-18	4956	1494	0.301452785
13	acc-17	4902	1459	0.297633619
14	acc-16	4921	1501	0.305019305
15	acc-15	4873	1456	0.298789247
16	acc-14	4858	1477	0.304034582
17	acc-13	4660	1435	0.307939914
18	acc-12	4465	1357	0.303919373
19	acc-11	4302	1252	0.291027429
20	acc-10	4308	1263	0.293175487
21	acc-9	4528	1377	0.304107774
22	acc-8	5192	1591	0.306432974
23	acc-7	5250	1527	0.290857143
24	acc-6	4904	1380	0.281402936
25	acc-5	5142	1470	0.28588098
26	acc-4	6091	1863	0.305861107
27	acc-3	4581	1311	0.286182056
28	acc-2	1718	185	0.107683353
29	acc-1	1826	184	0.100766703
30	acc	981	294	0.29969419
31	acc+1	1539	435	0.282651072
32	acc+2	2436	735	0.301724138
33	acc+3	1225	413	0.337142857
34	acc+4	1649	531	0.322013341
35	acc+5	2407	694	0.288325717
36	acc+6	1198	376	0.313856427
37	acc+7	1705	505	0.296187683
38	acc+8	2373	707	0.297935103
39	acc+9	1283	400	0.311769291
40	acc+10	1600	492	0.3075
42	don-10	1742	495	0.284156142
43	don-9	2546	760	0.298507463
44	don-8	1234	360	0.291734198
45	don-7	1729	497	0.287449393
46	don-6	2378	740	0.31118587
47	don-5	1175	398	0.338723404
48	don-4	1506	439	0.291500664
49	don-3	2136	673	0.315074906
50	don-2	1081	296	0.273820537
51	don-1	1703	490	0.28772754
52	don	2046	453	0.221407625
53	don+1	3470	245	0.070605187
54	don+2	1191	119	0.099916037
55	don+3	3768	915	0.242834395
56	don+4	3959	1093	0.276079818
57	don+5	4419	989	0.223806291
58	don+6	4615	1296	0.280823402
59	don+7	5628	1645	0.292288557
60	don+8	5735	1652	0.288055798
61	don+9	5318	1635	0.307446408
62	don+10	5352	1682	0.314275037
64	don_A	132	39	0.295454545
65	don_C	420	126	0.3
66	don_G	1312	232	0.176829268
67	don_T	182	56	0.307692308
69	PyPu	15519	4387	0.28268574
70	Other	51367	15469	0.301146651
