CQ	dom_exp	dom_obs	dom_obs/exp	excess	PPV
missense_variant	95.7618201	455	4.751371679	359.2381799	0.789534461
synonymous_variant	39.22416166	42	1.070768583	2.775838336	0.066091389
stop_gained	5.315859563	134	25.20758843	128.6841404	0.960329406
acc_combined	1.054415559	22	20.864639	20.94558444	0.95207202
acc-1	0.603379033	10	16.57333028	9.396620967	0.939662097
acc-2	0.451036526	12	26.60538404	11.54896347	0.962413623
don_combined	1.547733499	26	16.79875768	24.4522665	0.940471789
don+1	1.047000119	21	20.05730431	19.95299988	0.950142851
don+2	0.50073338	5	9.985353892	4.49926662	0.899853324
don+5	0.861582437	8	9.285240344	7.138417563	0.892302195
PPT_PyPu	2.023988855	7	3.458517068	4.976011145	0.710858735
PPT_other	6.137404852	9	1.466417846	2.862595148	0.318066128
Exonic	4.845850889	9	1.857258964	4.154149111	0.461572123
Intronic_other	10.31505102	12	1.163348585	1.684948984	0.140412415
