Order_dom	CQ	PPV_all	PPV
0	.	0	0
1	stop_gained	0.598768662	0.960329406
2	missense	0.355024409	0.789534461
3	.	0	0
4	acc_canonical	0.534313637	0.95207202
5	acc-2	0.613598084	0.962413623
6	acc-1	0.450224073	0.939662097
7	.	0	0
8	don_canonical	0.432946491	0.940471789
9	don+1	0.502117904	0.950142851
10	don+2	0.203588649	0.899853324
11	.	0	0
12	don+5	0.142554745	0.892302195
13	PPT_PyPu	0.11909321	0.710858735
14	Exonic_near_splice	0.142917294	0.461572123
15	PPT_other	0.041414156	0.318066128
16	Other_near_splice	0	0.140412415
17	.	0	0
