Order	CQ	ps_adjusted	standard_error	Set
1	synonymous	0	0.000654212	Ada
2	1	-0.032830904	0.005661206	Ada
3	2	-0.020757439	0.005745796	Ada
4	3	-0.011835628	0.005766326	Ada
5	4	-0.007071221	0.005812732	Ada
6	5	-0.003667895	0.005889089	Ada
7	6	0.000413792	0.005911038	Ada
8	7	0.010493662	0.00600693	Ada
9	8	0.015871623	0.006084294	Ada
10	9	0.016054188	0.00608708	Ada
11	10	0.025538675	0.006236821	Ada
12	11	0.047760457	0.006375596	Ada
13	12	0.059048968	0.006742056	Ada
14	13	0.062654132	0.007089694	Ada
15	14	0.10152576	0.00744009	Ada
16	15	0.100752931	0.007768225	Ada
17	16	0.118629357	0.007621784	Ada
18	17	0.122935888	0.008416489	Ada
19	18	0.134628584	0.008513038	Ada
20	19	0.181939877	0.00910118	Ada
21	20	0.175581445	0.008775895	Ada
