Bracket	score	value
1	Null	100
2	Null	95
3	Null	90
4	Null	85
5	Null	80
6	Null	75
7	Null	70
8	Null	65
9	Null	60
10	Null	55
11	Null	50
12	Null	45
13	Null	40
14	Null	35
15	Null	30
16	Null	25
17	Null	20
18	Null	15
19	Null	10
20	Null	5
21	Null	0
1	Ada	100.00
2	Ada	100.00
3	Ada	97.30
4	Ada	94.59
5	Ada	91.89
6	Ada	91.89
7	Ada	91.89
8	Ada	91.89
9	Ada	91.89
10	Ada	91.89
11	Ada	89.19
12	Ada	89.19
13	Ada	89.19
14	Ada	83.78
15	Ada	78.38
16	Ada	70.27
17	Ada	64.86
18	Ada	54.05
19	Ada	35.14
20	Ada	21.62
21	Ada	0
1	RF	100.00
2	RF	100.00
3	RF	100.00
4	RF	97.30
5	RF	94.59
6	RF	91.89
7	RF	91.89
8	RF	91.89
9	RF	86.49
10	RF	86.49
11	RF	86.49
12	RF	83.78
13	RF	83.78
14	RF	83.78
15	RF	78.38
16	RF	75.68
17	RF	62.16
18	RF	48.65
19	RF	35.14
20	RF	13.51
21	RF	0.00
1	MES	100.00
2	MES	97.30
3	MES	91.89
4	MES	89.19
5	MES	89.19
6	MES	86.49
7	MES	86.49
8	MES	86.49
9	MES	86.49
10	MES	81.08
11	MES	81.08
12	MES	81.08
13	MES	81.08
14	MES	78.38
15	MES	70.27
16	MES	70.27
17	MES	62.16
18	MES	56.76
19	MES	43.24
20	MES	32.43
21	MES	0
1	Spi	100.00
2	Spi	100.00
3	Spi	100.00
4	Spi	94.59
5	Spi	91.89
6	Spi	91.89
7	Spi	86.49
8	Spi	83.78
9	Spi	83.78
10	Spi	81.08
11	Spi	78.38
12	Spi	72.97
13	Spi	72.97
14	Spi	70.27
15	Spi	64.86
16	Spi	59.46
17	Spi	45.95
18	Spi	35.14
19	Spi	29.73
20	Spi	18.92
21	Spi	0
1	CADD	100.00
2	CADD	100.00
3	CADD	97.30
4	CADD	97.30
5	CADD	97.30
6	CADD	97.30
7	CADD	94.59
8	CADD	86.49
9	CADD	78.38
10	CADD	75.68
11	CADD	70.27
12	CADD	64.86
13	CADD	62.16
14	CADD	59.46
15	CADD	43.24
16	CADD	32.43
17	CADD	29.73
18	CADD	27.03
19	CADD	18.92
20	CADD	10.81
21	CADD	0
