Bracket	score	value
1	Null	100
2	Null	95
3	Null	90
4	Null	85
5	Null	80
6	Null	75
7	Null	70
8	Null	65
9	Null	60
10	Null	55
11	Null	50
12	Null	45
13	Null	40
14	Null	35
15	Null	30
16	Null	25
17	Null	20
18	Null	15
19	Null	10
20	Null	5
21	Null	0
1	Ada	100.00
2	Ada	100.00
3	Ada	98.80
4	Ada	96.39
5	Ada	96.39
6	Ada	96.39
7	Ada	96.39
8	Ada	96.39
9	Ada	95.18
10	Ada	95.18
11	Ada	95.18
12	Ada	91.57
13	Ada	89.16
14	Ada	86.75
15	Ada	79.52
16	Ada	71.08
17	Ada	65.06
18	Ada	56.63
19	Ada	44.58
20	Ada	20.48
21	Ada	0
1	RF	100.00
2	RF	100.00
3	RF	100.00
4	RF	98.80
5	RF	96.39
6	RF	96.39
7	RF	96.39
8	RF	93.98
9	RF	93.98
10	RF	93.98
11	RF	92.77
12	RF	92.77
13	RF	89.16
14	RF	86.75
15	RF	79.52
16	RF	73.49
17	RF	65.06
18	RF	43.37
19	RF	20.48
20	RF	7.23
21	RF	0.00
1	MES	100.00
2	MES	97.59
3	MES	96.39
4	MES	95.18
5	MES	95.18
6	MES	93.98
7	MES	93.98
8	MES	93.98
9	MES	91.57
10	MES	91.57
11	MES	91.57
12	MES	91.57
13	MES	89.16
14	MES	86.75
15	MES	83.13
16	MES	75.90
17	MES	72.29
18	MES	60.24
19	MES	37.35
20	MES	15.66
21	MES	0
1	Spi	100.00
2	Spi	100.00
3	Spi	100.00
4	Spi	97.59
5	Spi	96.39
6	Spi	95.18
7	Spi	92.77
8	Spi	92.77
9	Spi	91.57
10	Spi	90.36
11	Spi	87.95
12	Spi	87.95
13	Spi	86.75
14	Spi	84.34
15	Spi	81.93
16	Spi	74.70
17	Spi	63.86
18	Spi	54.22
19	Spi	44.58
20	Spi	26.51
21	Spi	0
1	CADD	100.00
2	CADD	100.00
3	CADD	98.80
4	CADD	98.80
5	CADD	98.80
6	CADD	97.59
7	CADD	97.59
8	CADD	91.57
9	CADD	90.36
10	CADD	87.95
11	CADD	84.34
12	CADD	83.13
13	CADD	81.93
14	CADD	78.31
15	CADD	71.08
16	CADD	67.47
17	CADD	60.24
18	CADD	36.14
19	CADD	14.46
20	CADD	4.82
21	CADD	0
