Bracket	Null	D_Ada_C	D_RF_C	D_MESPD_C	D_Spidex_C	D_CADD_C	D_Ada_NC	D_RF_NC	D_MESPD_NC	D_Spidex_NC	D_CADD_NC
1	100.00000	100.00000	100.00000	100.00000	100.00000	100.00000	100.00000	100.00000	100.00000	100.00000	100.00000
2	95.00000	100.00000	100.00000	97.59036	100.00000	100.00000	100.00000	100.00000	97.29730	100.00000	100.00000
3	90.00000	98.79518	100.00000	96.38554	100.00000	98.79518	97.29730	100.00000	91.89189	100.00000	97.29730
4	85.00000	96.38554	98.79518	95.18072	97.59036	98.79518	94.59459	97.29730	89.18919	94.59459	97.29730
5	80.00000	96.38554	96.38554	95.18072	96.38554	98.79518	91.89189	94.59459	89.18919	91.89189	97.29730
6	75.00000	96.38554	96.38554	93.97590	95.18072	97.59036	91.89189	91.89189	86.48649	91.89189	97.29730
7	70.00000	96.38554	96.38554	93.97590	92.77108	97.59036	91.89189	91.89189	86.48649	86.48649	94.59459
8	65.00000	96.38554	93.97590	93.97590	92.77108	91.56627	91.89189	91.89189	86.48649	83.78378	86.48649
9	60.00000	95.18072	93.97590	91.56627	91.56627	90.36145	91.89189	86.48649	86.48649	83.78378	78.37838
10	55.00000	95.18072	93.97590	91.56627	90.36145	87.95181	91.89189	86.48649	81.08108	81.08108	75.67568
11	50.00000	95.18072	92.77108	91.56627	87.95181	84.33735	89.18919	86.48649	81.08108	78.37838	70.27027
12	45.00000	91.56627	92.77108	91.56627	87.95181	83.13253	89.18919	83.78378	81.08108	72.97297	64.86486
13	40.00000	89.15663	89.15663	89.15663	86.74699	81.92771	89.18919	83.78378	81.08108	72.97297	62.16216
14	35.00000	86.74699	86.74699	86.74699	84.33735	78.31325	83.78378	83.78378	78.37838	70.27027	59.45946
15	30.00000	79.51807	79.51807	83.13253	81.92771	71.08434	78.37838	78.37838	70.27027	64.86486	43.24324
16	25.00000	71.08434	73.49398	75.90361	74.69880	67.46988	70.27027	75.67568	70.27027	59.45946	32.43243
17	20.00000	65.06024	65.06024	72.28916	63.85542	60.24096	64.86486	62.16216	62.16216	45.94595	29.72973
18	15.00000	56.62651	43.37349	60.24096	54.21687	36.14458	54.05405	48.64865	56.75676	35.13514	27.02703
19	10.00000	44.57831	20.48193	37.34940	44.57831	14.45783	35.13514	35.13514	43.24324	29.72973	18.91892
20	5.00000	20.48193	7.22892	15.66265	26.50602	4.81928	21.62162	13.51351	32.43243	18.91892	10.81081
21	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
