position	site	expected	observed
1	A-25	16.37803559	15
2	A-24	16.4115739	16
3	A-23	16.40539466	14
4	A-22	16.48068448	10
5	A-21	16.53409241	12
6	A-20	16.54776527	17
7	A-19	16.56275199	18
8	A-18	16.31616524	17
9	A-17	16.18724568	15
10	A-16	16.02643125	12
11	A-15	15.91809294	14
12	A-14	15.74951146	10
13	A-13	15.28168241	20
14	A-12	14.80706284	12
15	A-11	14.46590864	18
16	A-10	14.60098286	8
17	A-9	14.98504621	21
18	A-8	15.19358344	16
19	A-7	15.05149918	16
20	A-6	14.46990308	15
21	A-5	15.28052951	19
22	A-4	16.14924929	14
23	A-3	14.18131656	19
24	A-2	11.90926415	19
25	A-1	15.97614509	22
26	A	2.700052264	6
27	A+1	4.898626827	6
28	A+2	7.116190482	4
29	A+3	3.836506408	5
30	A+4	5.148243118	6
31	A+5	7.477050803	11
32	A+6	3.800502036	4
33	A+7	5.332334849	7
34	A+8	7.506421086	10
35	A+9	3.798223797	5
36	A+10	5.178972357	6
37	D-10	5.43033249	6
38	D-9	7.744259593	12
39	D-8	4.043568252	8
40	D-7	5.446805825	5
41	D-6	7.59553348	5
42	D-5	3.752627473	2
43	D-4	4.815408254	3
44	D-3	6.967130821	6
45	D-2	3.469654167	2
46	D-1	5.711301425	4
47	D	8.82820888	9
48	D+1	27.61349974	39
49	D+2	13.33133139	12
50	D+3	12.58963409	20
51	D+4	15.50009852	15
52	D+5	21.12047874	20
53	D+6	16.05863788	9
54	D+7	17.13624911	15
55	D+8	18.05223076	20
56	D+9	18.5736402	13
57	D+10	18.38346293	16
