position	site	expected	observed
1	A-25	0.616280118	0
2	A-24	0.649567374	1
3	A-23	0.636423424	1
4	A-22	0.639277157	0
5	A-21	0.666870411	1
6	A-20	0.662715002	0
7	A-19	0.625935416	1
8	A-18	0.606858025	1
9	A-17	0.612158517	0
10	A-16	0.632903124	2
11	A-15	0.632951113	0
12	A-14	0.613343122	1
13	A-13	0.573537995	1
14	A-12	0.554086583	1
15	A-11	0.547546964	2
16	A-10	0.550777271	0
17	A-9	0.57946046	2
18	A-8	0.589348525	0
19	A-7	0.573679175	2
20	A-6	0.565306566	1
21	A-5	0.594144638	2
22	A-4	0.610894922	1
23	A-3	0.542149653	2
24	A-2	0.451036526	12
25	A-1	0.603379033	10
26	A	0.103550298	0
27	A+1	0.214953026	1
28	A+2	0.297537747	2
29	A+3	0.140187447	0
30	A+4	0.220992649	0
31	A+5	0.299268065	1
32	A+6	0.144076049	0
33	A+7	0.2392293	0
34	A+8	0.319412805	0
35	A+9	0.144901849	0
36	A+10	0.225962669	0
37	D-10	0.241232012	0
38	D-9	0.29562468	0
39	D-8	0.138337743	0
40	D-7	0.215436489	0
41	D-6	0.296464876	2
42	D-5	0.145279005	0
43	D-4	0.199398781	0
44	D-3	0.264611789	1
45	D-2	0.12488602	0
46	D-1	0.222132776	1
47	D	0.352374812	1
48	D+1	1.047000119	21
49	D+2	0.50073338	5
50	D+3	0.470620098	0
51	D+4	0.658393686	2
52	D+5	0.861582437	8
53	D+6	0.616085132	0
54	D+7	0.665779766	0
55	D+8	0.697952579	1
56	D+9	0.740619915	1
57	D+10	0.750777991	2
