poisson_p	site	group
1	acc-25	dom
0.4777	acc-24	dom
0.4708	acc-23	dom
1	acc-22	dom
0.4867	acc-21	dom
1	acc-20	dom
0.4652	acc-19	dom
0.4549	acc-18	dom
1	acc-17	dom
0.1329	acc-16	dom
1	acc-15	dom
0.4585	acc-14	dom
0.4365	acc-13	dom
0.4254	acc-12	dom
0.105	acc-11	dom
1	acc-10	dom
0.115	acc-9	dom
1	acc-8	dom
0.1133	acc-7	dom
0.4318	acc-6	dom
0.12	acc-5	dom
0.4571	acc-4	dom
0.1032	acc-3	dom
9.76E-14	acc-2	dom
1.02E-09	acc-1	dom
1	acc	dom
0.1934	acc+1	dom
0.03639	acc+2	dom
1	acc+3	dom
1	acc+4	dom
0.2586	acc+5	dom
1	acc+6	dom
1	acc+7	dom
1	acc+8	dom
1	acc+9	dom
1	acc+10	dom
1	don-10	dom
1	don-9	dom
1	don-8	dom
1	don-7	dom
0.03615	don-6	dom
1	don-5	dom
1	don-4	dom
0.2325	don-3	dom
1	don-2	dom
0.1992	don-1	dom
0.297	don	dom
2.20E-16	don+1	dom
0.0001733	don+2	dom
1	don+3	dom
0.1415	don+4	dom
3.52E-06	don+5	dom
1	don+6	dom
1	don+7	dom
0.5024	don+8	dom
0.5232	don+9	dom
0.1736	don+10	dom
2.20E-16	totals	dom
0.0001397	totals_NC	dom
1	acc-25	rec
1	acc-24	rec
0.6751	acc-23	rec
0.6727	acc-22	rec
0.417	acc-21	rec
0.6735	acc-20	rec
1	acc-19	rec
0.6754	acc-18	rec
1	acc-17	rec
0.2053	acc-16	rec
1	acc-15	rec
0.663	acc-14	rec
0.1888	acc-13	rec
0.1828	acc-12	rec
1	acc-11	rec
1	acc-10	rec
1	acc-9	rec
0.0594	acc-8	rec
1	acc-7	rec
0.6535	acc-6	rec
0.661	acc-5	rec
0.4161	acc-4	rec
0.3971	acc-3	rec
0.02936	acc-2	rec
1	acc-1	rec
1	acc	rec
0.3471	acc+1	rec
1	acc+2	rec
1	acc+3	rec
1	acc+4	rec
0.5189	acc+5	rec
0.05318	acc+6	rec
1	acc+7	rec
0.03913	acc+8	rec
1	acc+9	rec
0.08063	acc+10	rec
0.383	don-10	rec
0.5476	don-9	rec
1	don-8	rec
1	don-7	rec
