Order	CQ	ps_adjusted	standard_error	Set
1	stop_gained	0.129004761	0.002920372	DDD
2	missense	0.044194246	0.000463112	DDD
3	synonymous	0	0.000654212	DDD
5	acc-25	0.003379702	0.007020893	DDD
6	acc-24	-0.010374527	0.006998758	DDD
7	acc-23	-0.009917928	0.007000795	DDD
8	acc-22	0.002274476	0.006987893	DDD
9	acc-21	-0.019183977	0.007014776	DDD
10	acc-20	-0.01507733	0.00692931	DDD
11	acc-19	-0.012237167	0.006973857	DDD
12	acc-18	-0.017413771	0.006999592	DDD
13	acc-17	-0.000961084	0.007021857	DDD
14	acc-16	-0.008394571	0.007000035	DDD
15	acc-15	-0.016531826	0.007041025	DDD
16	acc-14	-0.004466941	0.007050405	DDD
17	acc-13	0.00086732	0.007170771	DDD
18	acc-12	-0.00815351	0.007351329	DDD
19	acc-11	0.006313628	0.007462594	DDD
20	acc-10	0.001593578	0.007462283	DDD
21	acc-9	0.001896079	0.007276712	DDD
22	acc-8	-0.000154195	0.006813248	DDD
23	acc-7	-0.009545673	0.006769219	DDD
24	acc-6	-0.001112661	0.00701439	DDD
25	acc-5	0.000790481	0.006850831	DDD
26	acc-4	0.001238809	0.006291386	DDD
27	acc-3	0.010151877	0.007176551	DDD
28	acc-2	0.130804074	0.010639292	DDD
29	acc-1	0.120438541	0.010419956	DDD
30	acc	0.012673765	0.015429561	DDD
31	acc+1	0.008713628	0.012452659	DDD
32	acc+2	-0.00393927	0.009917285	DDD
33	acc+3	0.007183368	0.013937102	DDD
34	acc+4	0.011024205	0.012012675	DDD
35	acc+5	0.010083685	0.00999299	DDD
36	acc+6	0.007359048	0.014154695	DDD
37	acc+7	0.000291779	0.011877021	DDD
38	acc+8	-0.007474545	0.010098752	DDD
39	acc+9	-0.003370729	0.013689499	DDD
40	acc+10	0.005074498	0.012236321	DDD
42	don-10	0.005106738	0.011727359	DDD
43	don-9	0.006800096	0.009733958	DDD
44	don-8	-0.007472625	0.013969619	DDD
45	don-7	-2.51E-05	0.011832917	DDD
46	don-6	0.002981082	0.010082753	DDD
47	don-5	-0.018799711	0.014290724	DDD
48	don-4	0.021567582	0.012518692	DDD
49	don-3	0.008221011	0.010626881	DDD
50	don-2	0.004461044	0.014832607	DDD
51	don-1	0.01079416	0.011870364	DDD
52	don	0.060953506	0.010742474	DDD
53	don+1	0.159098842	0.007425121	DDD
54	don+2	0.136076382	0.012666854	DDD
55	don+3	0.04210385	0.007794083	DDD
56	don+4	0.050136534	0.007730461	DDD
57	don+5	0.069033989	0.007204893	DDD
58	don+6	0.010968627	0.007201619	DDD
59	don+7	-0.006579331	0.006554323	DDD
60	don+8	-0.014346751	0.006507406	DDD
61	don+9	-0.005356259	0.006748426	DDD
62	don+10	-0.005077879	0.00673714	DDD
64	don_A	0.055852323	0.041449633	DDD
65	don_C	0.019468754	0.023696071	DDD
66	don_G	0.085507793	0.013227754	DDD
67	don_T	-0.013923289	0.036115832	DDD
69	PyPu	0.016961385	0.003871456	DDD
70	Other	-0.007847796	0.002171297	DDD
1	stop_gained	0.131196659	0.001731542	ExAC
2	missense	0.037079329	0.000298419	ExAC
3	synonymous	3.33E-16	0.000406362	ExAC
5	acc-25	-0.004829339	0.0037538	ExAC
6	acc-24	-0.003748451	0.003761298	ExAC
7	acc-23	-0.005696218	0.003721234	ExAC
8	acc-22	0.003612088	0.003716573	ExAC
9	acc-21	-0.002760679	0.003717567	ExAC
10	acc-20	0.003624159	0.003709089	ExAC
11	acc-19	-0.00924548	0.003728323	ExAC
12	acc-18	-0.004145457	0.003738672	ExAC
13	acc-17	0.000498569	0.003718409	ExAC
14	acc-16	-0.001743114	0.00370563	ExAC
15	acc-15	-0.00713934	0.003727439	ExAC
16	acc-14	-0.00224394	0.003761071	ExAC
17	acc-13	-0.002893915	0.003815927	ExAC
18	acc-12	0.003744513	0.003843729	ExAC
19	acc-11	0.001122145	0.003916205	ExAC
20	acc-10	0.005980444	0.003874809	ExAC
21	acc-9	-0.005462177	0.003894629	ExAC
22	acc-8	0.00241396	0.003920252	ExAC
23	acc-7	0.002715797	0.003852313	ExAC
24	acc-6	-0.001126719	0.003995142	ExAC
25	acc-5	-0.0041456	0.003958444	ExAC
26	acc-4	-0.003767517	0.003611234	ExAC
27	acc-3	0.018853501	0.003908707	ExAC
28	acc-2	0.129968375	0.005617045	ExAC
29	acc-1	0.137117894	0.005275859	ExAC
30	acc	0.012578382	0.008595578	ExAC
31	acc+1	0.013285319	0.007047595	ExAC
32	acc+2	0.001080891	0.005681656	ExAC
33	acc+3	0.001657145	0.00780497	ExAC
34	acc+4	-0.006286039	0.006861836	ExAC
35	acc+5	-0.000236129	0.005735377	ExAC
36	acc+6	0.001123887	0.007782137	ExAC
37	acc+7	-0.00664547	0.006736446	ExAC
38	acc+8	-0.00965033	0.005800817	ExAC
39	acc+9	-0.008366559	0.007823968	ExAC
40	acc+10	0.006411839	0.00690948	ExAC
42	don-10	0.00531988	0.006859168	ExAC
43	don-9	-0.007095179	0.005711747	ExAC
44	don-8	-0.005346325	0.007887966	ExAC
45	don-7	0.001304841	0.006893435	ExAC
46	don-6	-0.005338549	0.00575702	ExAC
47	don-5	0.001580009	0.008032577	ExAC
48	don-4	0.000193363	0.007153962	ExAC
49	don-3	0.003850809	0.006058185	ExAC
50	don-2	0.002768769	0.008201013	ExAC
51	don-1	0.007338053	0.00693032	ExAC
52	don	0.045087984	0.006286654	ExAC
53	don+1	0.151374218	0.00409396	ExAC
54	don+2	0.147898411	0.006454338	ExAC
55	don+3	0.032448773	0.004225659	ExAC
56	don+4	0.039968485	0.004326118	ExAC
57	don+5	0.065918411	0.004025143	ExAC
58	don+6	0.01660795	0.004030585	ExAC
59	don+7	0.002717777	0.003724851	ExAC
60	don+8	5.20E-05	0.003722154	ExAC
61	don+9	0.001158763	0.003602705	ExAC
62	don+10	0.000508247	0.00364076	ExAC
64	don_A	-0.006783376	0.022055912	ExAC
65	don_C	-0.005710986	0.013818633	ExAC
66	don_G	0.070348906	0.00764836	ExAC
67	don_T	-0.005772644	0.019153529	ExAC
69	PyPu	0.024831785	0.002011267	ExAC
70	Other	-0.007443081	0.00119208	ExAC
