Order	Group	Ann	p.value	valAdj	valAdjminuslog10
1	Dom	A-25	1	1	0
2	Dom	A-24	0.4777	1	0
3	Dom	A-23	0.4708	1	0
4	Dom	A-22	1	1	0
5	Dom	A-21	0.4867	1	0
6	Dom	A-20	1	1	0
7	Dom	A-19	0.4652	1	0
8	Dom	A-18	0.4549	1	0
9	Dom	A-17	1	1	0
10	Dom	A-16	0.1329	0.732158182	0.13539508
11	Dom	A-15	1	1	0
12	Dom	A-14	0.4585	1	0
13	Dom	A-13	0.4365	1	0
14	Dom	A-12	0.4254	1	0
15	Dom	A-11	0.105	0.68490625	0.164368871
16	Dom	A-10	1	1	0
17	Dom	A-9	0.1152	0.686609434	0.163290234
18	Dom	A-8	1	1	0
19	Dom	A-7	0.1133	0.686609434	0.163290234
20	Dom	A-6	0.4318	1	0
21	Dom	A-5	0.12	0.686609434	0.163290234
22	Dom	A-4	0.4571	1	0
23	Dom	A-3	0.1032	0.68490625	0.164368871
24	Dom	A-2	9.76E-14	4.22E-12	11.37420559
25	Dom	A-1	1.02E-09	3.43E-08	7.464199709
26	Dom	A	1	1	0
27	Dom	A+1	0.1934	0.8989	0.04628862
28	Dom	A+2	0.03639	0.439125556	0.357411288
29	Dom	A+3	1	1	0
30	Dom	A+4	1	1	0
31	Dom	A+5	0.2586	0.955558537	0.019742703
32	Dom	A+6	1	1	0
33	Dom	A+7	1	1	0
34	Dom	A+8	1	1	0
35	Dom	A+9	1	1	0
36	Dom	A+10	1	1	0
37	Dom	D-10	1	1	0
38	Dom	D-9	1	1	0
39	Dom	D-8	1	1	0
40	Dom	D-7	1	1	0
41	Dom	D-6	0.03615	0.439125556	0.357411288
42	Dom	D-5	1	1	0
43	Dom	D-4	1	1	0
44	Dom	D-3	1	0.927703704	0.03259071
45	Dom	D-2	1	1	0
46	Dom	D-1	0.1992	0.900859701	0.04534284
47	Dom	D	0.297	1	0
48	Dom	D+1	2.20E-16	1.33E-14	13.8751047
49	Dom	D+2	0.0001733	0.004039223	2.393702161
50	Dom	D+3	1	1	0
51	Dom	D+4	0.1415	0.752184211	0.123675787
52	Dom	D+5	3.52E-06	9.70E-05	4.013407393
53	Dom	D+6	1	1	0
54	Dom	D+7	1	1	0
55	Dom	D+8	0.5024	1	0
56	Dom	D+9	0.5232	1	0
57	Dom	D+10	0.1736	0.87668	0.057158901
1	Rec	A-25	1	1	0
2	Rec	A-24	1	1	0
3	Rec	A-23	0.6751	1	0
4	Rec	A-22	0.6727	1	0
5	Rec	A-21	0.417	1	0
6	Rec	A-20	0.6735	1	0
7	Rec	A-19	1	1	0
8	Rec	A-18	0.6754	1	0
9	Rec	A-17	1	1	0
10	Rec	A-16	0.2053	0.914792647	0.038677335
11	Rec	A-15	1	1	0
12	Rec	A-14	0.663	1	0
13	Rec	A-13	0.1888	0.8989	0.04628862
14	Rec	A-12	0.1828	0.8989	0.04628862
15	Rec	A-11	1	1	0
16	Rec	A-10	1	1	0
17	Rec	A-9	1	1	0
18	Rec	A-8	0.0594	0.529358824	0.276249844
19	Rec	A-7	1	1	0
20	Rec	A-6	0.6535	1	0
21	Rec	A-5	0.661	1	0
22	Rec	A-4	0.4161	1	0
23	Rec	A-3	0.3971	1	0
24	Rec	A-2	0.02936	0.423622857	0.373020615
25	Rec	A-1	1	1	0
26	Rec	A	1	1	0
27	Rec	A+1	0.3471	1	0
28	Rec	A+2	1	1	0
29	Rec	A+3	1	1	0
30	Rec	A+4	1	1	0
31	Rec	A+5	0.5189	1	0
32	Rec	A+6	0.05318	0.519791613	0.284170732
33	Rec	A+7	1	1	0
34	Rec	A+8	0.03913	0.439125556	0.357411288
35	Rec	A+9	1	1	0
36	Rec	A+10	0.08063	0.626433077	0.203125319
37	Rec	D-10	0.383	1	0
38	Rec	D-9	0.5476	1	0
39	Rec	D-8	1	1	0
40	Rec	D-7	1	1	0
41	Rec	D-6	0.5198	1	0
42	Rec	D-5	1	1	0
43	Rec	D-4	0.3507	0.583889189	0.233669566
44	Rec	D-3	1	1	0
45	Rec	D-2	1	1	0
46	Rec	D-1	0.3917	1	0
47	Rec	D	0.6095	1	0
48	Rec	D+1	0.7528	1	0
49	Rec	D+2	0.3662	1	0
50	Rec	D+3	0.64	1	0
51	Rec	D+4	0.1911	0.8989	0.04628862
52	Rec	D+5	0.2781	1	0
53	Rec	D+6	0.668	1	0
54	Rec	D+7	1	1	0
55	Rec	D+8	0.2396	0.927703704	0.03259071
56	Rec	D+9	1	1	0
57	Rec	D+10	0.694	1	0
1	nD	A-25	0.9012	1	0
2	nD	A-24	0.9013	1	0
3	nD	A-23	0.7097	1	0
4	nD	A-22	0.1369	0.740726786	0.13034195
5	nD	A-21	0.3238	1	0
6	nD	A-20	0.9017	1	0
7	nD	A-19	0.9017	1	0
8	nD	A-18	1	1	0
9	nD	A-17	0.9009	1	0
10	nD	A-16	0.1669	1	0
11	nD	A-15	0.6143	1	0
12	nD	A-14	0.1653	0.848913559	0.07113653
13	nD	A-13	0.2465	0.927703704	0.03259071
14	nD	A-12	0.6014	1	0
15	nD	A-11	0.3544	1	0
16	nD	A-10	0.08808	0.657726429	0.181954707
17	nD	A-9	0.1943	0.686609434	0.163290234
18	nD	A-8	1	1	0
19	nD	A-7	0.7955	1	0
20	nD	A-6	0.7931	1	0
21	nD	A-5	0.3063	1	0
22	nD	A-4	0.7084	1	0
23	nD	A-3	0.1844	0.8989	0.04628862
24	nD	A-2	0.08108	0.520976364	0.28318198
25	nD	A-1	0.132	0.732158182	0.13539508
26	nD	A	0.05674	0.520976364	0.28318198
27	nD	A+1	0.4997	1	0
28	nD	A+2	0.3441	1	0
29	nD	A+3	0.4436	1	0
30	nD	A+4	0.6549	1	0
31	nD	A+5	0.3547	0.8989	0.04628862
32	nD	A+6	0.6011	1	0
33	nD	A+7	0.6636	1	0
34	nD	A+8	0.5796	1	0
35	nD	A+9	0.4393	1	0
36	nD	A+10	1	1	0
37	nD	D-10	0.6688	1	0
38	nD	D-9	0.1447	0.755932759	0.121516834
39	nD	D-8	0.3102	0.583889189	0.233669566
40	nD	D-7	1	1	0
41	nD	D-6	0.4658	1	0
42	nD	D-5	0.5996	1	0
43	nD	D-4	0.6436	1	0
44	nD	D-3	1	1	0
45	nD	D-2	0.5953	1	0
46	nD	D-1	0.673	1	0
47	nD	D	0.8659	1	0
48	nD	D+1	0.03575	0.439125556	0.357411288
49	nD	D+2	0.6795	1	0
50	nD	D+3	0.04654	0.503629286	0.297889024
51	nD	D+4	1	1	0
52	nD	D+5	0.9133	1	0
53	nD	D+6	0.08003	0.626433077	0.203125319
54	nD	D+7	0.5449	1	0
55	nD	D+8	0.6363	1	0
56	nD	D+9	0.2439	0.927703704	0.03259071
57	nD	D+10	0.3513	1	0
