position	site	expected	observed
1	A-25	1.53693079	1
2	A-24	1.561812046	1
3	A-23	1.584370475	2
4	A-22	1.564241799	2
5	A-21	1.571454209	0
6	A-20	1.57136197	2
7	A-19	1.574003477	1
8	A-18	1.587115991	2
9	A-17	1.562776258	1
10	A-16	1.555728867	3
11	A-15	1.522252874	1
12	A-14	1.479241145	2
13	A-13	1.490516867	3
14	A-12	1.466433004	3
15	A-11	1.426682542	1
16	A-10	1.393965807	1
17	A-9	1.424750663	1
18	A-8	1.448928063	4
19	A-7	1.436742952	1
20	A-6	1.387270783	0
21	A-5	1.460319179	2
22	A-4	1.552146509	0
23	A-3	1.368070407	2
24	A-2	1.147030417	4
25	A-1	1.540551389	1
26	A	0.248757126	0
27	A+1	0.426319528	1
28	A+2	0.685802827	0
29	A+3	0.389007612	0
30	A+4	0.491803973	0
31	A+5	0.731610325	1
32	A+6	0.367976561	2
33	A+7	0.514022106	0
34	A+8	0.739592586	3
35	A+9	0.336098126	0
36	A+10	0.467890926	2
37	D-10	0.482869871	1
38	D-9	0.793181338	1
39	D-8	0.378172642	0
40	D-7	0.483253607	0
41	D-6	0.733519106	1
42	D-5	0.359546339	0
43	D-4	0.431798079	2
44	D-3	0.712609861	1
45	D-2	0.307187801	0
46	D-1	0.497133948	1
47	D	0.940322001	1
48	D+1	2.663710045	3
49	D+2	1.280436129	2
50	D+3	1.222903725	0
51	D+4	1.499978307	3
52	D+5	1.998435627	0
53	D+6	1.523815872	2
54	D+7	1.619288788	1
55	D+8	1.688104043	3
56	D+9	1.730748017	1
57	D+10	1.735621118	2
